# id	name	mnn
6989	1-Хлорметилсилатран	-
13118	2-Аллилоксиэтанол	аллилоксиэтанол
8465	3-Метилфенол (М-крезол)	~
12819	5-Аминолевулиновой кислоты гидрохлорид	аминолевулиновая кислота
11651	5-НОК	нитроксолин
12162	5-Фторурацил-Эбеве	фторурацил
5025	7-2-А2	industrial estates
13738	dl-?-Токоферола ацетат (Витамин Е)	не имеется
13691	IgE-АТ-ИФТС	~
9717	L-Аргинин	аргинин
8159	L-Аргинина гидрохлорид	аргинин
9351	L-Аргинин стерильный	аргинин
4192	L-Аспарагиназа	аспарагиназа
6990	L-Аспарагиновая кислота	аспарагиновая кислота
11039	L-Валин	валин
7056	L-Лизина ацетат	лизин
4150	L-Лизина эсцинат	эсцина лизинат
9912	L-Метионин	метионин
9645	L-орнитин-L-аспартат	орнитин
11041	L-Пролин	пролин
11042	L-Фенилаланин	фенилаланин
6371	L-цистеина гидрохлорида моногидрат	цистеин
9852	L-Яблочная кислота	(2s)-2-гидроксибутандиовая кислота
8114	N-Ацетил-L-Глутаминовая кислота	~
9612	N-метил-4-бензилкарбамидопиридиния йодид	метилбензилкарбамидопиридиния йодид
13326	N-Метилглюкамин	меглюмин
6549	N-никотиноил-гамма-аминомасляной кислоты натриевая соль	никотиноил гамма-аминомасляная кислота
5428	Route de Tunis Km 7 - ВР 206 Nabeul 8000	tunisia"
9724	S-Аденозил-L-метионин 1	4-бутандисульфонат"
8937	S-аденозил-L-метионин дисульфата п-толуолсульфонат	адеметионин
7082	S-Аденозилметионин	адеметионин
5479	Абаджио	терифлуномид
184	Абакавир	-
5391	Абакавир-АВС	абакавир
9715	Абакавира сульфат	абакавир
185	Абакавир + Зидовудин + Ламивудин	-
188	Абакавир Канон	-
186	Абакавир + Ламивудин	-
6011	Абакавир+Ламивудин	абакавир+ламивудин
187	Абакавир + Ламивудин Сан	-
9702	Абакавир сульфат	абакавир
189	Абакавир-Эдвансд	-
190	Абемациклиб-Промомед	-
3762	Абергин	-
191	Абилифай Ментена &reg;	-
192	Абирапрост	-
193	Абират &reg;	-
194	Абиратерон	-
9891	Абиратерона ацетат	абиратерон
199	Абиратерон-Амедарт	-
195	Абиратерон АФ	-
196	Абиратерон Канон	-
197	Абиратерон НВ	-
200	Абиратерон-Промомед	-
198	Абиратерон Сан	-
201	Абиратерон-ТЛ	-
13027	Абисиб	пихты сибирской экстракт
3781	Абисил	пихты сибирской терпены
12523	Абитаксел	паклитаксел
202	Абитера	-
12798	Абомин	сычужные ферменты&
9358	Абраксан	паклитаксел+[альбумин]
10477	Аваксим	вакцина для профилактики гепатита а инактивированная
10476	Аваксим 160	вакцина для профилактики вирусного гепатита а
9416	Аваксим 80	гепатитная а вакцина (инактивированная адсорбированная)
178	А-Валкордис &reg;	-
7807	Авамис	флутиказона фуроат
6514	Авастин	бевацизумаб
179	АВВАнтацид &reg;	-
5949	Авегра БИОКАД	бевацизумаб
10107	Авена комп.	-
13343	Авена-плюс	~
208	Авениум &reg; Про	-
3988	Авиа-Море	~
209	Авиандр &reg;	-
210	Авинорм Тревел &reg;	-
211	Авионко &reg;	-
7584	Авиоплант	~
7798	Ависан	амми зубной экстракт
212	Авифавир	-
213	Авифавир Форте	-
8208	Авомит	гранисетрон
214	Авонекс	-
215	Авопрост	-
10279	Автомобильный проезд	д
216	Авцефт	-
7962	Агалатес	каберголин
10834	Агапурин	пентоксифиллин
10719	Агапурин СР	пентоксифиллин
217	Агарта &reg;	-
218	Агарта &reg; Мет	-
7188	Агар Хоттингера	~
219	Агграстат &reg;	-
7216	Агемфил А	фактор свертывания крови viii
13174	Агемфил В	фактор свертывания крови ix
11124	Агенераза	ампренавир
8718	Агеста	мифепристон
10995	Агиолакс	~
13321	Агнус-плюс	~
220	Агомелатин	-
221	Агомелатин Канон	-
12873	Агри детский	-
5056	Агрилин	анагрелид
10836	Агриппал S1	вакцина для профилактики гриппа [инактивированная]
222	Агтеминол	-
4662	Адаклин	адапален
223	Адалимумаб	-
13069	Адам	~
9376	Адамантилфениламин	адамантилбромфениламин
9239	Адапален	адапален
7190	Адаптол	тетраметилтетраазабициклооктандион
225	Адасель &reg;	-
5736	Адваграф	такролимус
5440	Адвейт	октоког альфа
226	Адвосилон	-
12805	Адгелон	~
227	Аддавен	-
11306	Аддамель Н	~
228	Адеметионин	-
8832	Адеметионина 1	4-бутандисульфонат"
229	Адеметионин Велфарм	-
231	Адеметионин-Виал	-
230	Адеметионин ПСК	-
233	Адеметионин-Ферейн &reg;	-
232	Адеметионин-ФС	-
234	Адемио &reg;	-
5545	Адемпас	риоцигуат
235	Аденовейт &reg;	-
3600	Аденозинтрифoсфорная кислота	трифосаденин
8563	Аденозин трифосфата динатриевая соль	трифосаденин
13501	Аденозинтрифосфат натрия	трифосаденин
236	Аденопросин &reg;	-
9328	Аденоцин	~
6152	Аденурик	фебуксостат
237	Аденурик &reg;	-
