regnumber,regdate,enddate,cancellationdate,nameregcertificate,country,tradename,internationalname,formrelease,stages,barcodes,normativedocumentation,pharmacotherapeuticgroup
,,,,"ООО ""Валеант""",Россия,,,,"Производство готовой лекарственной формы,Херкель Б.В., Nobelweg 6, 3899 BN Zeewolde, the Netherlands, Нидерланды
",,"П N009886-280411,2011,Бронхинол; 
",отхаркивающее средство растительного происхождения
,,21.10.2010,,Дарница фармацевтическая фирма ЗАО,Украина,,,"таблетки 200 мг, упаковки ячейковые контурные - 2
","Производитель (Все стадии производства),Дарница фармацевтическая фирма ЗАО, ~, Украина
","4823006400096,Дарница фармацевтическая фирма ЗАО,пред-ль в Москве ОАО ""Бофарм"": 141191, Московская обл., г. Фрязино, ул. Станционная, д. 2, корп. 1,Украина
","НД 42-7644-04,2004,ПЕНТОКСИФИЛЛИН-ДАРНИЦА; 
",вазодилатирующее средство
,,21.10.2010,,Дарница фармацевтическая фирма ЗАО,Украина,,,"концентрат для приготовления раствора для внутривенного и внутриартериального введения 20 мг/мл, ампулы - 5
","Производитель (Все стадии производства),Дарница фармацевтическая фирма ЗАО, ~, Украина
","4823006400256,Дарница фармацевтическая фирма ЗАО,пред-ль в Москве ОАО ""Бофарм"": 141191, Московская обл., г. Фрязино, ул. Станционная, д. 2, корп. 1,Украина
","НД 42-7644-04,2004,ПЕНТОКСИФИЛЛИН-ДАРНИЦА; 
",вазодилатирующее средство
,,16.09.2010,01.10.2010,Галичфарм АО,Украина,,,"раствор для внутривенного введения 0.25 мг/мл, ампулы - 10
","Производитель (Все стадии производства),Галичфарм АО, г. Львов, ул. Опрышковская, 6/8, Украина
","4823000800250,Галичфарм АО,г. Львов, ул. Опрышковская, 6/8,Украина
","НД 42-9049-05,2005,СТРОФАНТИН К; 
",кардиотоническое средство - сердечный гликозид
,,,,"АО ""Галичфарм""",Украина,,,"раствор для внутривенного и внутримышечного введения 0.2500 мг/мл, ампулы из прозрачного бесцветного стекла - 10
","Все стадии,АО ""Галичфарм"", , Украина
","4823000800250,АО ""Галичфарм"",,Украина
","010675-200911,2011,; 
",
,,,12.03.2008,Московская фармацевтическая фабрика ОАО,Россия,,,"субстанция-настойка гомеопатическая матричная ~, флаконы темного стекла - 
","Производитель (Все стадии производства),Московская фармацевтическая фабрика ОАО, ~, Россия
",,"ВФС 42-3628-00,2000,НАСТОЙКА ЗВЕРОБОЯ ГОМЕОПАТИЧЕСКАЯ (""ГИПЕРИКУМ 1 Д""); 
",гомеопатическое монокомпонентное средство
,,,,Опытный завод АН Республики Башкортостан,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые двухслойные - 
",,"~,Опытный завод АН Республики Башкортостан,~,Россия
",,
,,,12.03.2008,Московская фармацевтическая фабрика ОАО,Россия,,,"мазь для наружного применения 20%, банки - 1
","Производитель (Все стадии производства),Московская фармацевтическая фабрика ОАО, ~, Россия
","4601429002680,Московская фармацевтическая фабрика ОАО,125239 Москва Фармацевтический проезд д. 1,Россия
","ВФС 42-3664-00,2000,БЕНСОКРИЛ (МАЗЬ БЕНЗИЛБЕНЗОАТА 10% И 20%); 
",противочесоточное средство
,,,,ГНИИ особо чистых биопрепаратов,Россия,,,"субстанция-жидкость ~, бутылки для крови и кровезаменителей - 
",,"~,ГНИИ особо чистых биопрепаратов,~,Россия
",,
,,,,Рузам-М ООО,Россия,,,"субстанция-раствор [концентрированный] ~, флаконы - 1
",,"~,Рузам-М ООО,~,Россия
",,
,,,,Петровакс Лаб ООО,Россия,,,"субстанция-порошок для приготовления лекарственных форм и вакцин ~, флаконы - 
",,"~,Петровакс Лаб ООО,г. Москва, Каширское шоссе, д.24, корп. 2,Россия
",,
,,,,Востоквит ОАО,Россия,,,"субстанция-масса кристаллическая ~, банки - 
",,"~,Востоквит ОАО,Алтайский край, г Бийск, ул. Социалистическая, 1,Россия
",,
,,,,Усолье-Сибирский химфармкомбинат ОАО,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые двухслойные - 
",,"~,Усолье-Сибирский химфармкомбинат ОАО,~,Россия
",,
,,,,Пятигорская фармацевтическая фабрика ФГУП,Россия,,,"субстанция-порошок ~,  - 
",,"~,Пятигорская фармацевтическая фабрика ФГУП,~,Россия
",,
,,,,"Государственный завод медицинских препаратов ГУП, дочернее предприятие ГУП ""ГосНИИОХТ""",Россия,,,"субстанция ~,  - 
",,,,
,,,,Асфарма ОАО,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые - 1
",,"~,Асфарма ОАО,~,Россия
",,
,,,,,,,,"субстанция-порошок ~, пакеты бумажные - 
",,,,
,,,,Асфарма ОАО,Россия,,,"субстанция-порошок ~, пакеты бумажные двухслойные - 
",,"~,Асфарма ОАО,~,Россия
",,
,,,,Синтез ОАО,Россия,,,"субстанция-порошок ~, мешки полиэтиленовые - 1
",,"~,Синтез ОАО,640008, г. Курган, пр. Конституции, 7,Россия
",,
,,,,Органика ОАО,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые - 
",,"~,Органика ОАО,654034, Кемеровская обл., г. Новокузнецк, шоссе Кузнецкое, д.3,Россия
",,
,,,,Северная звезда Лтд ЗАО,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые - 
",,"~,Северная звезда Лтд ЗАО,188663, Ленинградская обл., Всеволожский р-н, п. Кузьмоловский, Опытный завод РНЦ ""Прикладная химия"",Россия
",,
,,,,Усолье-Сибирский химфармкомбинат ОАО,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые - 
",,"4605422002135,Усолье-Сибирский химфармкомбинат ОАО,~,Россия
",,
,,,,Аромасинтез ОАО,Россия,,,"субстанция-жидкость ~, контейнеры полиэтиленовые - 
",,"~,Аромасинтез ОАО,248010, г. Калуга, ул. Комсомольская роща, д.39.,Россия
",,
,,,,Фармстандарт-Уфимский витаминный завод ОАО,Россия,,,"субстанция-порошок ~, пакеты полиэтиленовые - 
",,"~,Фармстандарт-Уфимский витаминный завод ОАО,450077, Уфа, ул. Худайбердина, д.28,Россия
",,
,,,,Ивановская фармацевтическая фабрика ОАО,Россия,,,"порошок для приготовления суспензии для приема внутрь ~, пакеты из комбинированного термосвариваемого материала - 
","Производитель (Все стадии производства),Ивановская фармацевтическая фабрика ОАО, 153007, Иваново, ул. Генерала Горбатого, д. 19а, Россия
",,,слабительное средство
,,,14.02.2007,Тульская фармфабрика ГУП,Россия,,,,,,,слабительное средство
,,,,Усолье-Сибирский химфармкомбинат ОАО,Россия,,,"субстанция-порошок ~, пакеты бумажные - 
",,"~,Усолье-Сибирский химфармкомбинат ОАО,~,Россия
",,
,,,,Екатеринбургская фармфабрика ОАО,Россия,,,"субстанция-порошок ~,  - 
",,,,
,,,,Биосинтез ОАО,Россия,,,"субстанция-порошок ~, флаконы полиэтиленовые - 
",,"~,Биосинтез ОАО,440033, Пенза, ул. Дружбы, 4,Россия
",,
,,,,Усолье-Сибирский химфармкомбинат ОАО,Россия,,,"субстанция-порошок ~, мешки полиэтиленовые двухслойные - 1
",,"~,Усолье-Сибирский химфармкомбинат ОАО,~,Россия
",,
